   0.0000000000000000e+00	   0.0000000000000000e+00	
   5.0002601929000001e-03	  -4.4106788933299997e-05	
   1.0000180453099999e-02	  -1.0818128287800000e-04	
   1.5000000596000001e-02	   3.6444404602100001e-02	
   2.0000303164100001e-02	   7.2828453064000001e-02	
   2.5000128895000001e-02	   1.0903217315700001e-01	
   3.0000099912300002e-02	   1.4499818420400001e-01	
   3.5000178962900003e-02	   1.8072868347200000e-01	
   4.0000118315199999e-02	   2.1615071106000000e-01	
   4.5000083744500000e-02	   2.5127615356400002e-01	
   5.0000254064800000e-02	   2.8602694702100001e-01	
   5.5000152438900003e-02	   3.2035321044900000e-01	
   6.0000076889999997e-02	   3.5420849609400001e-01	
   6.5000385046000003e-02	   3.8758181762700000e-01	
   7.0000000298000006e-02	   4.2036926269500002e-01	
   7.5000368058700001e-02	   4.5244216918899999e-01	
   8.0000355839699999e-02	   4.8348934936499999e-01	
   8.5000060498700000e-02	   5.1322106933599998e-01	
   9.0000383555899996e-02	   5.4136791992199995e-01	
   9.5000073313700001e-02	   5.6766387939499996e-01	
   1.0000001639099999e-01	   5.9192358398400002e-01	
   1.0500033944800000e-01	   6.1406530761699996e-01	
   1.1000018566800000e-01	   6.3407012939499996e-01	
   1.1500009149300000e-01	   6.5212097168000005e-01	
   1.2000028789000000e-01	   6.6789178466800003e-01	
   1.2500035762799999e-01	   6.8131390380900003e-01	
   1.3000008463900001e-01	   6.9247100830099995e-01	
   1.3500009477100000e-01	   7.0152386474600004e-01	
   1.4000001549700000e-01	   7.0852679443400002e-01	
   1.4500023424600000e-01	   7.1352227783199995e-01	
   1.5000027418100001e-01	   7.1667645263699997e-01	
   1.5500016510500000e-01	   7.1813226318400003e-01	
   1.6000042855700000e-01	   7.1797839355500004e-01	
   1.6500008106200001e-01	   7.1627502441400004e-01	
   1.7000028490999999e-01	   7.1305999755899996e-01	
   1.7500010132800001e-01	   7.0824780273400001e-01	
   1.8000000715299999e-01	   7.0181079101599997e-01	
   1.8500004708800000e-01	   6.9346740722699995e-01	
   1.9000028073799999e-01	   6.8318566894499999e-01	
   1.9500035047500000e-01	   6.7097113037099998e-01	
   2.0000036060800000e-01	   6.5670916747999997e-01	
   2.0500013232200001e-01	   6.4008709716800005e-01	
   2.1000045537900000e-01	   6.2123583984399999e-01	
   2.1500007808200000e-01	   6.0044952392600004e-01	
   2.2000037133700001e-01	   5.7823187255899999e-01	
   2.2500005364400000e-01	   5.5566192627000000e-01	
   2.3000007867799999e-01	   5.3361761474600000e-01	
   2.3500035703200001e-01	   5.1300170898399999e-01	
   2.4000015854800000e-01	   4.9449981689500000e-01	
   2.4500030279200000e-01	   4.7814520263700000e-01	
   2.5000026822100002e-01	   4.6410388183599999e-01	
   2.5500023365000002e-01	   4.5252005004899998e-01	
   2.6000031828900000e-01	   4.4300555419900001e-01	
   2.6500031351999997e-01	   4.3522830200200002e-01	
   2.7000024914699999e-01	   4.2889559936499999e-01	
   2.7500048279799999e-01	   4.2394805908200001e-01	
   2.8000032901799998e-01	   4.2002380371100001e-01	
   2.8500023484199999e-01	   4.1690374755900000e-01	
   2.9000031948100002e-01	   4.1442575073200000e-01	
   2.9500016570100002e-01	   4.1245666503900003e-01	
   3.0000030994400001e-01	   4.1089205932599998e-01	
   3.0500012636200002e-01	   4.0955487060500001e-01	
   3.1000033021000001e-01	   4.0846051025399999e-01	
   3.1500038504599998e-01	   4.0755841064499998e-01	
   3.2000032067299999e-01	   4.0682897949199998e-01	
   3.2500052452099998e-01	   4.0625723266600000e-01	
   3.3000025153200002e-01	   4.0582257080099998e-01	
   3.3500003814700002e-01	   4.0550445556600001e-01	
   3.4000030160000000e-01	   4.0528683471700000e-01	
   3.4500029683099998e-01	   4.0524716186499998e-01	
   3.5000014305100002e-01	   4.0530978393599998e-01	
   3.5500001907299999e-01	   4.0547714233400001e-01	
   3.6000043153799999e-01	   4.0571072387700002e-01	
   3.6500024795500002e-01	   4.0601687622100002e-01	
   3.7000033259400000e-01	   4.0636645507800001e-01	
   3.7500050663899998e-01	   4.0661233520500001e-01	
   3.8000032305699999e-01	   4.0685534668000001e-01	
   3.8500007987000001e-01	   4.0711544799799998e-01	
   3.9000055193900002e-01	   4.0740164184599997e-01	
   3.9500010013600001e-01	   4.0771734619099997e-01	
   4.0000036358800001e-01	   4.0867391967799999e-01	
   4.0500009059900000e-01	   4.0985174560499998e-01	
   4.1000038385400001e-01	   4.1114190673800000e-01	
   4.1500014066699997e-01	   4.1254598998999997e-01	
   4.2000004649200001e-01	   4.1398559570299998e-01	
   4.2500013113000001e-01	   4.1547552490200002e-01	
   4.3000003695500000e-01	   4.1700112914999998e-01	
   4.3500027060500002e-01	   4.1855456543000003e-01	
   4.4000044465100002e-01	   4.2014181518600002e-01	
   4.4500049948699999e-01	   4.2177755737299999e-01	
   4.5000022649799998e-01	   4.2343374633800002e-01	
   4.5500016212500000e-01	   4.2514227294899998e-01	
   4.6000024676300000e-01	   4.2688693237300002e-01	
   4.6500056981999999e-01	   4.2867663574199999e-01	
   4.7000041603999998e-01	   4.3047741699199998e-01	
   4.7500041127199999e-01	   4.3229742431599999e-01	
   4.8000061511999997e-01	   4.3414852905300000e-01	
   4.8500025272399999e-01	   4.3602578735399999e-01	
   4.9000027775799998e-01	   4.3793978881800000e-01	
   4.9500003457100000e-01	   4.3988766479500002e-01	
   5.0000017881400005e-01	   4.4187316894500001e-01	
   5.0500011444100001e-01	   4.4389291381800000e-01	
   5.1000052690499997e-01	   4.4595013427699998e-01	
