   1.4234753378610521e-03	   4.9049873087736451e-04	
   1.4903615284352079e-02	   2.4651848802908716e-02	
   2.1952390752555395e-02	   6.3240035672635031e-02	
   2.8277423338135432e-02	   1.0857172257666192e-01	
   3.4595595801605289e-02	   1.5775879810660620e-01	
   4.0913768265075146e-02	   2.0694587363655070e-01	
   4.6513342937504337e-02	   2.5998490773135752e-01	
   5.9868285655484660e-02	   3.5450710022638404e-01	
   7.0410578308293864e-02	   4.2973862934760243e-01	
   8.3816971942100554e-02	   4.9534540714824726e-01	
   9.2278932564999666e-02	   5.3972353707896004e-01	
   1.0779309871715712e-01	   6.2076215956644032e-01	
   1.2334671057144816e-01	   6.7963229745489473e-01	
   1.3752315291212183e-01	   7.1247170199629561e-01	
   1.4961411813130274e-01	   7.1734924881662898e-01	
   1.6174109899156205e-01	   7.0198600535089528e-01	
   1.7176030733347056e-01	   6.7119091719832624e-01	
   1.8109521849488922e-01	   6.2497084448103180e-01	
   1.8830692186320916e-01	   5.7199355148521658e-01	
   1.9407456952733756e-01	   5.3057556424504360e-01	
   2.0341805584139397e-01	   4.7953625574535236e-01	
   2.1486759964327370e-01	   4.4489263908897581e-01	
   2.3768265075118336e-01	   4.2283391644371271e-01	
   2.6547300541949648e-01	   4.0465459285175281e-01	
   2.9252589696096587e-01	   4.0092954654592855e-01	
   3.1957535844138030e-01	   3.9913219455306309e-01	
   3.4306956163819713e-01	   3.9538999794196344e-01	
   3.6797694998970987e-01	   3.9743774439185026e-01	
   3.9075598545654111e-01	   3.9561981203265428e-01	
   4.2632743362831860e-01	   4.0446593949372306e-01	
   4.6404438499005274e-01	   4.0753927419908081e-01	
   4.8892776291417983e-01	   4.2308088083967904e-01	
   5.1525691157302600e-01	   4.2609933456815541e-01	
   5.4298381011181995e-01	   4.4358235576593269e-01	
   5.8425087466556913e-01	   4.5149207655896284e-01	
   6.1554675173218076e-01	   4.6320916512313925e-01	
   6.7600157782808534e-01	   4.8759689922480626e-01	
   7.2437229882691923e-01	   5.0325169788022239e-01	
   7.7130239418261637e-01	   5.2853810797832224e-01	
