0,98,101
0,98,101
1.5,98,101
3,98,101
4.5,98,101
6,98,101
7.5,98,101
9,98,101
10.5,98,101
12,98,101
13.5,98,101
15,98,101
16.5,98,101
18,98,101
19.5,98,101
21,98,101
22.5,98,101
24,98,101
25.5,98,101
27,98,101
28.5,98,101
30,98,101
31.5,98,101
33,98,101
34.5,98,101
36,98,101
37.5,98,101
39,98,101
40.5,98,101
42,98,101
43.5,98,101
45,98,101
46.5,98,101
48,98,101
49.5,98,101
51,98,101
52.5,98,101
54,98,101
55.5,98,101
57,98,101
58.5,98,101
60,98,101
61.5,98,101
63,98,101
64.5,98,101
66,98,101
67.5,98,101
69,98,101
70,98,101
71,98,101
72,98,101
73,98,101
74,98,101
75,98,101
76,97,100
77,96,99
78,95,98
79,94,97
80,93,96
