0	0
4	0.0382812061
8	0.0677724527
12	0.0904896399
16	0.1079407037
20	0.1212735543
24	0.1313760541
28	0.1389453737
32	0.1445371157
36	0.1486007062
40	0.1515052593
44	0.1535587107
48	0.1550221255
52	0.1561204977
56	0.1570509736
60	0.1579891614
64	0.1590940099
68	0.1605116031
72	0.1623781346
76	0.1648222488
80	0.1679668982
84	0.1719308216
88	0.176829729
92	0.1827772547
96	0.1898857282
100	0.1982668004
104	0.2080319549
108	0.2192929264
112	0.2321620454
116	0.2467525226
120	0.2631786851
124	0.2815561724
128	0.3020021005
132	0.3246351996
136	0.3495759291
140	0.3769465753
144	0.4068713339
148	0.4394763796
152	0.4748899264

