0	0
0.25	13.5108307059
0.5	26.2776271439
0.75	38.3484597687
1	49.767853097
1.25	60.5770785513
1.5	70.8144206223
1.75	80.5154190003
2	89.713089045
2.25	98.4381227061
2.5	106.7190717883
2.75	114.5825152527
3	122.0532120735
3.25	129.1542410117
3.5	135.9071285275
3.75	142.3319659322
4	148.447516767
4.25	154.2713153011
4.5	159.8197569491
4.75	165.1081813349
5	170.1509486537
5.25	174.9615099247
5.5	179.5524716673
5.75	183.9356554864
6	188.1221530037
6.25	192.1223765343
6.5	195.9461058667
6.75	199.6025314761
7	203.1002944681
7.25	206.4475235227
7.5	209.6518690859
7.75	212.7205350339
8	215.6603080124
8.25	218.477584641
8.5	221.1783967502
8.75	223.7684348076
9	226.2530696769

